EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
41.7	21.4	-7128.6	6.55	12.76	4.52	34.77	32.85	25765	0.0	15000.0	15000.0
41.7	21.4	-7128.6	6.55	12.76	4.52	34.77	32.85	25766	1.0	14999.0	15000.0
41.7	21.4	-6776.98	3.23	11.74	-0.57	20.1	32.87	25767	2.0	14998.0	15000.0
41.7	21.4	-6776.98	3.23	11.74	-0.57	20.1	32.87	25768	3.0	14997.0	15000.0
41.7	21.4	-5986.14	6.32	10.4	5.44	43.66	32.91	25769	4.0	14996.0	15000.0
41.7	21.4	-5986.14	6.32	10.4	5.44	43.66	32.91	25770	5.0	14995.0	15000.0
41.7	21.4	-6109.19	7.6	10.24	9.29	52.14	32.91	25771	6.0	14994.0	15000.0
41.7	21.4	-6109.19	7.6	10.24	9.29	52.14	32.91	25772	7.0	14993.0	15000.0
41.7	21.4	-6271.54	8.34	10.34	11.66	56.08	32.95	25773	8.0	14992.0	15000.0
41.7	21.4	-6271.54	8.34	10.34	11.66	56.08	32.95	25774	9.0	14991.0	15000.0
41.7	21.4	-6405.27	8.9	10.43	12.25	59.83	32.97	25775	10.0	14990.0	15000.0
41.7	21.4	-6405.27	8.9	10.43	12.25	59.83	32.97	25776	11.0	14989.0	15000.0
41.7	21.4	-6494.14	9.19	10.52	12.96	61.95	33.01	25777	12.0	14988.0	15000.0
41.7	21.4	-6494.14	9.19	10.52	12.96	61.95	33.01	25778	13.0	14987.0	15000.0
41.6	21.4	-6551.82	9.5	10.55	9.55	62.4	33.05	25779	14.0	14986.0	15000.0
41.6	21.4	-6551.82	9.5	10.55	9.55	62.4	33.05	25780	15.0	14985.0	15000.0
41.6	21.4	-6551.82	9.5	10.55	9.55	62.4	33.05	25781	16.0	14984.0	15000.0
41.6	21.4	-6551.82	9.5	10.55	9.55	62.4	33.05	25782	17.0	14983.0	15000.0
41.6	21.4	-6597.53	9.53	10.64	12.17	62.41	33.12	25783	18.0	14982.0	15000.0
41.6	21.4	-6597.53	9.53	10.64	12.17	62.41	33.12	25784	19.0	14981.0	15000.0
41.6	21.4	-6622.31	9.62	10.61	10.64	64.92	33.17	25785	20.0	14980.0	15000.0
41.6	21.4	-6622.31	9.62	10.61	10.64	64.92	33.17	25786	21.0	14979.0	15000.0
41.6	21.4	-6634.7	9.7	10.76	12.21	61.63	33.23	25787	22.0	14978.0	15000.0
41.6	21.4	-6634.7	9.7	10.76	12.21	61.63	33.23	25788	23.0	14977.0	15000.0
41.8	21.4	-6646.67	9.71	10.74	13.54	62.96	33.3	25789	24.0	14976.0	15000.0
41.8	21.39	-6646.67	9.71	10.74	13.54	62.96	33.3	25790	25.0	14975.0	15000.0
41.8	21.38	-6650.08	9.74	10.65	12.43	65.58	33.37	25791	26.0	14974.0	15000.0
41.8	21.36	-6650.08	9.74	10.65	12.43	65.58	33.37	25792	27.0	14973.0	15000.0
41.8	21.33	-6654.36	9.83	10.71	12.27	63.6	33.43	25793	28.0	14972.0	15000.0
41.8	21.3	-6654.36	9.83	10.71	12.27	63.6	33.43	25794	29.0	14971.0	15000.0
41.8	21.27	-6659.06	9.83	10.75	12.11	63.6	33.5	25795	30.0	14970.0	15000.0
41.8	21.24	-6659.06	9.83	10.75	12.11	63.6	33.5	25796	31.0	14969.0	15000.0
41.8	21.22	-6660.77	9.77	10.74	13.25	63.91	33.58	25797	32.0	14968.0	15000.0
41.8	21.21	-6660.77	9.77	10.74	13.25	63.91	33.58	25798	33.0	14967.0	15000.0
42.1	21.2	-6662.05	9.79	10.74	12.86	63.17	33.64	25799	34.0	14966.0	15000.0
42.1	21.2	-6662.05	9.79	10.74	12.86	63.17	33.64	25800	35.0	14965.0	15000.0
42.1	21.21	-6659.06	9.79	10.72	12.79	63.7	33.74	25801	36.0	14964.0	15000.0
42.1	21.21	-6659.06	9.79	10.72	12.79	63.7	33.74	25802	37.0	14963.0	15000.0
42.1	21.22	-6660.77	9.76	10.72	13.14	63.99	33.86	25803	38.0	14962.0	15000.0
42.1	21.23	-6660.77	9.76	10.72	13.14	63.99	33.86	25804	39.0	14961.0	15000.0
42.1	21.24	-6663.33	9.84	10.75	13.21	63.48	33.93	25805	40.0	14960.0	15000.0
42.1	21.25	-6663.33	9.84	10.75	13.21	63.48	33.93	25806	41.0	14959.0	15000.0
42.1	21.27	-6662.05	9.79	10.73	13.45	64.55	34.0	25807	42.0	14958.0	15000.0
42.1	21.28	-6662.05	9.79	10.73	13.45	64.55	34.0	25808	43.0	14957.0	15000.0
42.5	21.3	-6658.63	9.83	10.76	13.01	63.72	34.07	25809	44.0	14956.0	15000.0
42.5	21.32	-6658.63	9.83	10.76	13.01	63.72	34.07	25810	45.0	14955.0	15000.0
42.5	21.34	-6663.33	9.83	10.77	11.76	64.07	34.14	25811	46.0	14954.0	15000.0
42.5	21.37	-6663.33	9.83	10.77	11.76	64.07	34.14	25812	47.0	14953.0	15000.0
42.5	21.39	-6662.9	9.83	10.69	10.27	65.63	34.22	25813	48.0	14952.0	15000.0
42.5	21.42	-6662.9	9.83	10.69	10.27	65.63	34.22	25814	49.0	14951.0	15000.0
42.5	21.44	-6665.89	9.87	10.74	11.81	63.74	34.27	25815	50.0	14950.0	15000.0
42.5	21.47	-6665.89	9.87	10.74	11.81	63.74	34.27	25816	51.0	14949.0	15000.0
42.5	21.48	-6665.04	9.84	10.73	10.14	63.33	34.34	25817	52.0	14948.0	15000.0
42.5	21.5	-6665.04	9.84	10.73	10.14	63.33	34.34	25818	53.0	14947.0	15000.0
43.3	21.5	-6661.62	9.86	10.79	11.38	62.83	34.39	25819	54.0	14946.0	15000.0
43.3	21.5	-6661.62	9.86	10.79	11.38	62.83	34.39	25820	55.0	14945.0	15000.0
43.3	21.5	-6663.33	9.78	10.7	12.13	65.73	34.44	25821	56.0	14944.0	15000.0
43.3	21.5	-6663.33	9.78	10.7	12.13	65.73	34.44	25822	57.0	14943.0	15000.0
43.3	21.5	-6662.05	9.85	10.77	11.29	62.88	34.51	25823	58.0	14942.0	15000.0
43.3	21.5	-6662.05	9.85	10.77	11.29	62.88	34.51	25824	59.0	14941.0	15000.0
43.3	21.5	-6662.05	9.85	10.77	11.29	62.88	34.51	25825	60.0	14940.0	15000.0
43.3	21.5	-6662.05	9.85	10.77	11.29	62.88	34.51	25826	61.0	14939.0	15000.0
43.3	21.5	-6663.76	9.8	10.69	11.91	64.22	34.57	25827	62.0	14938.0	15000.0
43.3	21.5	-6663.76	9.8	10.69	11.91	64.22	34.57	25828	63.0	14937.0	15000.0
44.0	21.5	-6657.77	9.81	10.82	11.98	61.85	34.63	25829	64.0	14936.0	15000.0
44.0	21.5	-6657.77	9.81	10.82	11.98	61.85	34.63	25830	65.0	14935.0	15000.0
44.0	21.5	-6661.62	9.82	10.79	13.25	62.78	34.68	25831	66.0	14934.0	15000.0
44.0	21.5	-6661.62	9.82	10.79	13.25	62.78	34.68	25832	67.0	14933.0	15000.0
44.0	21.5	-6663.76	9.77	10.69	12.98	64.63	34.76	25833	68.0	14932.0	15000.0
44.0	21.5	-6663.76	9.77	10.69	12.98	64.63	34.76	25834	69.0	14931.0	15000.0
44.0	21.5	-6661.62	9.76	10.77	13.39	63.82	34.79	25835	70.0	14930.0	15000.0
44.0	21.5	-6661.62	9.76	10.77	13.39	63.82	34.79	25836	71.0	14929.0	15000.0
44.0	21.5	-6659.91	9.78	10.74	11.77	64.07	34.85	25837	72.0	14928.0	15000.0
44.0	21.5	-6659.91	9.78	10.74	11.77	64.07	34.85	25838	73.0	14927.0	15000.0
44.7	21.5	-6661.19	9.8	10.81	12.6	63.82	34.89	25839	74.0	14926.0	15000.0
44.7	21.5	-6661.19	9.8	10.81	12.6	63.82	34.89	25840	75.0	14925.0	15000.0
44.7	21.52	-6661.62	9.83	10.75	11.88	63.95	34.96	25841	76.0	14924.0	15000.0
44.7	21.54	-6661.62	9.83	10.75	11.88	63.95	34.96	25842	77.0	14923.0	15000.0
44.7	21.56	-6662.9	9.75	10.77	12.89	63.44	35.01	25843	78.0	14922.0	15000.0
44.7	21.59	-6662.9	9.75	10.77	12.89	63.44	35.01	25844	79.0	14921.0	15000.0
44.7	21.62	-6662.05	9.84	10.8	12.11	62.85	35.04	25845	80.0	14920.0	15000.0
44.7	21.65	-6662.05	9.84	10.8	12.11	62.85	35.04	25846	81.0	14919.0	15000.0
44.7	21.67	-6661.19	9.73	10.75	13.38	63.9	35.1	25847	82.0	14918.0	15000.0
