EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
67.5	20.0	-2564.33	6.61	5.91	23.43	79.74	31.55	243913	2356.0	12644.0	15000.0
67.5	20.0	-2564.33	6.61	5.91	23.43	79.74	31.55	243914	2357.0	12643.0	15000.0
67.5	20.0	-10939.63	15.82	13.48	26.69	56.22	31.55	243915	2358.0	12642.0	15000.0
67.5	20.0	-10939.63	15.82	13.48	26.69	56.22	31.55	243916	2359.0	12641.0	15000.0
67.5	20.0	-11744.14	4.05	19.93	-0.94	16.57	31.62	243917	2360.0	12640.0	15000.0
67.5	20.0	-11744.14	4.05	19.93	-0.94	16.57	31.62	243918	2361.0	12639.0	15000.0
67.2	20.0	-10511.11	11.73	16.81	9.25	47.46	31.6	243919	2362.0	12638.0	15000.0
67.2	20.0	-10511.11	11.73	16.81	9.25	47.46	31.6	243920	2363.0	12637.0	15000.0
67.2	20.0	-10511.11	11.73	16.81	9.25	47.46	31.6	243921	2364.0	12636.0	15000.0
67.2	20.0	-10511.11	11.73	16.81	9.25	47.46	31.6	243922	2365.0	12635.0	15000.0
67.2	20.0	-10614.93	12.79	16.55	9.33	53.91	31.6	243923	2366.0	12634.0	15000.0
67.2	20.0	-10614.93	12.79	16.55	9.33	53.91	31.6	243924	2367.0	12633.0	15000.0
67.2	20.0	-10707.21	13.63	16.33	12.96	54.59	31.62	243925	2368.0	12632.0	15000.0
67.2	20.0	-10707.21	13.63	16.33	12.96	54.59	31.62	243926	2369.0	12631.0	15000.0
67.2	20.0	-10774.29	14.14	15.93	12.13	55.03	31.65	243927	2370.0	12630.0	15000.0
67.2	20.0	-10774.29	14.14	15.93	12.13	55.03	31.65	243928	2371.0	12629.0	15000.0
65.7	20.2	-10820.0	14.57	15.41	14.55	57.7	31.68	243929	2372.0	12628.0	15000.0
65.7	20.2	-10820.0	14.57	15.41	14.55	57.7	31.68	243930	2373.0	12627.0	15000.0
65.7	20.2	-10866.15	14.93	15.06	16.71	58.52	31.7	243931	2374.0	12626.0	15000.0
65.7	20.2	-10866.15	14.93	15.06	16.71	58.52	31.7	243932	2375.0	12625.0	15000.0
65.7	20.2	-10866.15	14.93	15.06	16.71	58.52	31.7	243933	2376.0	12624.0	15000.0
65.7	20.2	-10866.15	14.93	15.06	16.71	58.52	31.7	243934	2377.0	12623.0	15000.0
65.7	20.2	-10892.64	15.0	14.98	19.01	58.74	31.73	243935	2378.0	12622.0	15000.0
65.7	20.2	-10892.64	15.0	14.98	19.01	58.74	31.73	243936	2379.0	12621.0	15000.0
65.7	20.2	-10934.08	15.19	14.67	21.15	59.84	31.81	243937	2380.0	12620.0	15000.0
65.7	20.2	-10934.08	15.19	14.67	21.15	59.84	31.81	243938	2381.0	12619.0	15000.0
64.4	20.3	-10940.92	15.31	14.62	18.57	60.65	31.85	243939	2382.0	12618.0	15000.0
64.4	20.3	-10940.92	15.31	14.62	18.57	60.65	31.85	243940	2383.0	12617.0	15000.0
64.4	20.3	-10945.62	15.37	14.62	19.09	60.05	31.88	243941	2384.0	12616.0	15000.0
64.4	20.3	-10945.62	15.37	14.62	19.09	60.05	31.88	243942	2385.0	12615.0	15000.0
64.4	20.3	-10952.02	15.33	14.44	20.44	61.8	31.91	243943	2386.0	12614.0	15000.0
64.4	20.3	-10952.02	15.33	14.44	20.44	61.8	31.91	243944	2387.0	12613.0	15000.0
64.4	20.3	-10953.73	15.44	14.49	19.98	60.42	31.95	243945	2388.0	12612.0	15000.0
64.4	20.3	-10953.73	15.44	14.49	19.98	60.42	31.95	243946	2389.0	12611.0	15000.0
64.4	20.3	-10956.3	15.39	14.55	19.26	60.85	32.02	243947	2390.0	12610.0	15000.0
64.4	20.3	-10956.3	15.39	14.55	19.26	60.85	32.02	243948	2391.0	12609.0	15000.0
63.4	20.2	-10962.28	15.35	14.47	22.59	62.52	32.06	243949	2392.0	12608.0	15000.0
63.4	20.2	-10962.28	15.35	14.47	22.59	62.52	32.06	243950	2393.0	12607.0	15000.0
63.4	20.2	-10955.44	15.4	14.43	23.75	59.56	32.09	243951	2394.0	12606.0	15000.0
63.4	20.2	-10955.44	15.4	14.43	23.75	59.56	32.09	243952	2395.0	12605.0	15000.0
63.4	20.2	-10962.71	15.38	14.44	21.99	61.31	32.15	243953	2396.0	12604.0	15000.0
63.4	20.2	-10962.71	15.38	14.44	21.99	61.31	32.15	243954	2397.0	12603.0	15000.0
63.4	20.2	-10961.85	15.38	14.48	22.4	60.3	32.2	243955	2398.0	12602.0	15000.0
63.4	20.2	-10961.85	15.38	14.48	22.4	60.3	32.2	243956	2399.0	12601.0	15000.0
63.4	20.2	-10958.43	15.35	14.41	24.29	60.0	32.22	243957	2400.0	12600.0	15000.0
63.4	20.2	-10958.43	15.35	14.41	24.29	60.0	32.22	243958	2401.0	12599.0	15000.0
62.9	20.5	-10957.58	15.45	14.54	18.94	59.94	32.3	243959	2402.0	12598.0	15000.0
62.9	20.5	-10957.58	15.45	14.54	18.94	59.94	32.3	243960	2403.0	12597.0	15000.0
62.9	20.5	-10961.0	15.37	14.37	22.17	62.21	32.33	243961	2404.0	12596.0	15000.0
62.9	20.5	-10961.0	15.37	14.37	22.17	62.21	32.33	243962	2405.0	12595.0	15000.0
62.9	20.5	-10965.7	15.39	14.41	21.13	60.75	32.36	243963	2406.0	12594.0	15000.0
62.9	20.5	-10965.7	15.39	14.41	21.13	60.75	32.36	243964	2407.0	12593.0	15000.0
62.9	20.5	-10965.7	15.39	14.41	21.13	60.75	32.36	243965	2408.0	12592.0	15000.0
62.9	20.5	-10965.7	15.39	14.41	21.13	60.75	32.36	243966	2409.0	12591.0	15000.0
62.9	20.5	-10961.85	15.44	14.48	19.02	60.88	32.42	243967	2410.0	12590.0	15000.0
62.9	20.5	-10961.85	15.44	14.48	19.02	60.88	32.42	243968	2411.0	12589.0	15000.0
62.3	20.3	-10958.86	15.46	14.33	20.39	63.13	32.45	243969	2412.0	12588.0	15000.0
62.3	20.3	-10958.86	15.46	14.33	20.39	63.13	32.45	243970	2413.0	12587.0	15000.0
62.3	20.3	-10957.15	15.46	14.48	20.15	59.74	32.49	243971	2414.0	12586.0	15000.0
62.3	20.3	-10957.15	15.46	14.48	20.15	59.74	32.49	243972	2415.0	12585.0	15000.0
62.3	20.3	-10957.15	15.46	14.47	22.46	60.39	32.54	243973	2416.0	12584.0	15000.0
62.3	20.3	-10957.15	15.46	14.47	22.46	60.39	32.54	243974	2417.0	12583.0	15000.0
62.3	20.3	-10961.0	15.37	14.49	21.96	60.02	32.61	243975	2418.0	12582.0	15000.0
62.3	20.3	-10961.0	15.37	14.49	21.96	60.02	32.61	243976	2419.0	12581.0	15000.0
62.3	20.3	-10958.43	15.43	14.54	20.99	59.28	32.66	243977	2420.0	12580.0	15000.0
62.3	20.3	-10958.43	15.43	14.54	20.99	59.28	32.66	243978	2421.0	12579.0	15000.0
61.9	20.3	-10961.42	15.41	14.45	20.51	59.79	32.68	243979	2422.0	12578.0	15000.0
61.9	20.3	-10961.42	15.41	14.45	20.51	59.79	32.68	243980	2423.0	12577.0	15000.0
61.9	20.3	-10960.14	15.45	14.42	19.5	61.97	32.73	243981	2424.0	12576.0	15000.0
61.9	20.3	-10960.14	15.45	14.42	19.5	61.97	32.73	243982	2425.0	12575.0	15000.0
61.9	20.3	-10962.28	15.4	14.46	21.43	62.15	32.76	243983	2426.0	12574.0	15000.0
