EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
60.05	19.8	-6306.58	13.05	9.62	25.47	81.81	31.18	181233	1008.0	13992.0	15000.0
60.03	19.8	-6306.58	13.05	9.62	25.47	81.81	31.19	181234	1009.0	13991.0	15000.0
60.01	19.8	-10145.38	1.15	17.0	0.16	5.58	31.21	181235	1010.0	13990.0	15000.0
59.98	19.8	-10145.38	1.15	17.0	0.16	5.58	31.22	181236	1011.0	13989.0	15000.0
59.96	19.8	-8656.86	5.16	14.77	2.25	24.14	31.23	181237	1012.0	13988.0	15000.0
59.93	19.8	-8656.86	5.16	14.77	2.25	24.14	31.25	181238	1013.0	13987.0	15000.0
59.9	19.8	-8398.8	8.56	14.18	5.52	41.56	31.27	181239	1014.0	13986.0	15000.0
59.86	19.8	-8398.8	8.56	14.18	5.52	41.56	31.27	181240	1015.0	13985.0	15000.0
59.82	19.8	-8398.8	8.56	14.18	5.52	41.56	31.27	181241	1016.0	13984.0	15000.0
59.76	19.8	-8398.8	8.56	14.18	5.52	41.56	31.28	181242	1017.0	13983.0	15000.0
59.7	19.8	-8505.19	9.57	13.91	6.45	48.29	31.3	181243	1018.0	13982.0	15000.0
59.63	19.8	-8505.19	9.57	13.91	6.45	48.29	31.3	181244	1019.0	13981.0	15000.0
59.56	19.8	-8578.67	10.19	13.81	8.14	51.15	31.31	181245	1020.0	13980.0	15000.0
59.48	19.8	-8578.67	10.19	13.81	8.14	51.15	31.33	181246	1021.0	13979.0	15000.0
59.39	19.8	-8634.64	10.56	13.79	9.13	52.32	31.36	181247	1022.0	13978.0	15000.0
59.3	19.8	-8634.64	10.56	13.79	9.13	52.32	31.38	181248	1023.0	13977.0	15000.0
59.2	19.8	-8677.79	10.89	13.75	10.42	53.64	31.39	181249	1024.0	13976.0	15000.0
59.1	19.8	-8677.79	10.89	13.75	10.42	53.64	31.42	181250	1025.0	13975.0	15000.0
59.0	19.8	-8741.03	11.3	13.75	11.15	55.17	31.46	181251	1026.0	13974.0	15000.0
58.9	19.8	-8741.03	11.3	13.75	11.15	55.17	31.46	181252	1027.0	13973.0	15000.0
58.8	19.8	-8741.03	11.3	13.75	11.15	55.17	31.46	181253	1028.0	13972.0	15000.0
58.7	19.8	-8741.03	11.3	13.75	11.15	55.17	31.49	181254	1029.0	13971.0	15000.0
58.6	19.8	-8759.82	11.49	13.73	10.16	56.57	31.52	181255	1030.0	13970.0	15000.0
58.5	19.8	-8759.82	11.49	13.73	10.16	56.57	31.54	181256	1031.0	13969.0	15000.0
58.4	19.8	-8770.08	11.57	13.73	11.76	56.64	31.56	181257	1032.0	13968.0	15000.0
58.3	19.8	-8770.08	11.57	13.73	11.76	56.64	31.58	181258	1033.0	13967.0	15000.0
58.2	19.9	-8782.04	11.63	13.74	11.14	56.5	31.61	181259	1034.0	13966.0	15000.0
58.1	19.9	-8782.04	11.63	13.74	11.14	56.5	31.63	181260	1035.0	13965.0	15000.0
58.0	19.9	-8789.3	11.71	13.72	11.34	57.76	31.66	181261	1036.0	13964.0	15000.0
57.9	19.9	-8789.3	11.71	13.72	11.34	57.76	31.68	181262	1037.0	13963.0	15000.0
57.8	19.9	-8795.29	11.75	13.72	9.61	57.28	31.7	181263	1038.0	13962.0	15000.0
57.7	19.9	-8795.29	11.75	13.72	9.61	57.28	31.73	181264	1039.0	13961.0	15000.0
57.6	19.9	-8800.41	11.71	13.68	10.69	58.34	31.77	181265	1040.0	13960.0	15000.0
57.5	19.9	-8800.41	11.71	13.68	10.69	58.34	31.8	181266	1041.0	13959.0	15000.0
57.4	19.9	-8799.56	11.78	13.67	9.75	58.86	31.82	181267	1042.0	13958.0	15000.0
57.3	19.9	-8799.56	11.78	13.67	9.75	58.86	31.84	181268	1043.0	13957.0	15000.0
