EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
83.0	23.5	-72.63	0.0	0.0	0.0	39.81	33.8	6179	4432.0	10568.0	15000.0
83.02	23.5	-72.63	0.0	0.0	0.0	39.81	33.79	6180	4433.0	10567.0	15000.0
83.04	23.5	-9142.21	4.17	16.15	-1.03	17.74	33.79	6181	4434.0	10566.0	15000.0
83.06	23.5	-9142.21	4.17	16.15	-1.03	17.74	33.8	6182	4435.0	10565.0	15000.0
83.08	23.5	-8760.25	-0.29	14.45	0.21	-2.04	33.8	6183	4436.0	10564.0	15000.0
83.1	23.5	-8760.25	-0.29	14.45	0.21	-2.04	33.79	6184	4437.0	10563.0	15000.0
83.12	23.5	-8137.75	0.47	13.75	0.73	2.32	33.78	6185	4438.0	10562.0	15000.0
83.14	23.5	-8137.75	0.47	13.75	0.73	2.32	33.78	6186	4439.0	10561.0	15000.0
83.16	23.5	-7923.7	0.8	13.55	0.04	3.69	33.77	6187	4440.0	10560.0	15000.0
83.18	23.5	-7923.7	0.8	13.55	0.04	3.69	33.76	6188	4441.0	10559.0	15000.0
83.2	23.6	-7863.04	0.9	13.45	0.43	4.83	33.76	6189	4442.0	10558.0	15000.0
83.18	23.6	-7863.04	0.9	13.45	0.43	4.83	33.75	6190	4443.0	10557.0	15000.0
83.09	23.6	-7843.38	0.92	13.39	0.48	5.07	33.75	6191	4444.0	10556.0	15000.0
82.95	23.6	-7843.38	0.92	13.39	0.48	5.07	33.75	6192	4445.0	10555.0	15000.0
82.75	23.6	-7843.38	0.92	13.39	0.48	5.07	33.75	6193	4446.0	10554.0	15000.0
82.53	23.6	-7843.38	0.92	13.39	0.48	5.07	33.75	6194	4447.0	10553.0	15000.0
82.28	23.6	-7836.97	0.91	13.43	0.24	4.29	33.74	6195	4448.0	10552.0	15000.0
82.02	23.6	-7836.97	0.91	13.43	0.24	4.29	33.74	6196	4449.0	10551.0	15000.0
81.76	23.6	-7836.97	0.91	13.43	0.24	4.29	33.74	6197	4450.0	10550.0	15000.0
81.52	23.6	-7836.97	0.91	13.43	0.24	4.29	33.72	6198	4451.0	10549.0	15000.0
81.3	23.5	-7840.39	0.91	13.41	0.26	4.13	33.7	6199	4452.0	10548.0	15000.0
81.09	23.5	-7840.39	0.91	13.41	0.26	4.13	33.69	6200	4453.0	10547.0	15000.0
80.88	23.5	-7838.26	0.93	13.44	-0.07	4.32	33.68	6201	4454.0	10546.0	15000.0
80.67	23.5	-7838.26	0.93	13.44	-0.07	4.32	33.67	6202	4455.0	10545.0	15000.0
80.45	23.5	-7838.68	0.95	13.4	-0.42	5.21	33.66	6203	4456.0	10544.0	15000.0
80.24	23.5	-7838.68	0.95	13.4	-0.42	5.21	33.65	6204	4457.0	10543.0	15000.0
80.02	23.5	-7840.82	0.91	13.4	0.42	5.32	33.65	6205	4458.0	10542.0	15000.0
79.81	23.5	-7840.82	0.91	13.4	0.42	5.32	33.64	6206	4459.0	10541.0	15000.0
79.6	23.5	-7837.83	0.92	13.38	0.17	5.43	33.63	6207	4460.0	10540.0	15000.0
79.4	23.5	-7837.83	0.92	13.38	0.17	5.43	33.62	6208	4461.0	10539.0	15000.0
79.2	23.6	-7840.39	0.92	13.39	0.02	4.63	33.62	6209	4462.0	10538.0	15000.0
79.03	23.6	-7840.39	0.92	13.39	0.02	4.63	33.61	6210	4463.0	10537.0	15000.0
78.91	23.6	-7839.54	0.93	13.39	0.12	4.58	33.6	6211	4464.0	10536.0	15000.0
78.82	23.6	-7839.54	0.93	13.39	0.12	4.58	33.59	6212	4465.0	10535.0	15000.0
78.75	23.6	-7837.4	0.91	13.42	0.18	4.7	33.59	6213	4466.0	10534.0	15000.0
78.69	23.6	-7837.4	0.91	13.42	0.18	4.7	33.58	6214	4467.0	10533.0	15000.0
78.64	23.6	-7836.12	0.93	13.43	0.28	4.33	33.57	6215	4468.0	10532.0	15000.0
78.57	23.6	-7836.12	0.93	13.43	0.28	4.33	33.56	6216	4469.0	10531.0	15000.0
78.48	23.6	-7252.5	2.71	12.66	-0.88	16.24	33.56	6217	4470.0	10530.0	15000.0
78.36	23.6	-7252.5	2.71	12.66	-0.88	16.24	33.55	6218	4471.0	10529.0	15000.0
78.2	23.7	-6933.35	5.95	12.08	4.66	34.88	33.55	6219	4472.0	10528.0	15000.0
78.0	23.7	-6933.35	5.95	12.08	4.66	34.88	33.55	6220	4473.0	10527.0	15000.0
77.79	23.7	-6933.35	5.95	12.08	4.66	34.88	33.55	6221	4474.0	10526.0	15000.0
77.57	23.7	-6933.35	5.95	12.08	4.66	34.88	33.54	6222	4475.0	10525.0	15000.0
77.34	23.7	-7110.23	7.72	12.05	6.76	45.9	33.53	6223	4476.0	10524.0	15000.0
77.1	23.7	-7110.23	7.72	12.05	6.76	45.9	33.52	6224	4477.0	10523.0	15000.0
76.87	23.7	-7337.1	9.06	12.08	7.64	51.93	33.52	6225	4478.0	10522.0	15000.0
