EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
46.73	23.5	-15.38	0.0	0.0	0.0	58.33	27.05	81957	8612.0	6388.0	15000.0
46.71	23.5	-15.38	0.0	0.0	0.0	58.33	27.04	81958	8613.0	6387.0	15000.0
46.7	23.5	-9381.04	16.27	4.73	57.71	63.92	27.02	81959	8614.0	6386.0	15000.0
46.69	23.5	-9381.04	16.27	4.73	57.71	63.92	27.02	81960	8615.0	6385.0	15000.0
46.68	23.5	-13071.59	2.38	14.58	25.0	5.35	27.04	81961	8616.0	6384.0	15000.0
46.67	23.5	-13071.59	2.38	14.58	25.0	5.35	27.07	81962	8617.0	6383.0	15000.0
46.65	23.5	-12106.02	1.59	14.86	19.62	4.73	27.1	81963	8618.0	6382.0	15000.0
46.64	23.5	-12106.02	1.59	14.86	19.62	4.73	27.11	81964	8619.0	6381.0	15000.0
46.61	23.5	-11549.74	2.65	15.08	16.43	8.18	27.11	81965	8620.0	6380.0	15000.0
46.58	23.5	-11549.74	2.65	15.08	16.43	8.18	27.13	81966	8621.0	6379.0	15000.0
46.53	23.5	-11511.72	2.75	15.12	15.64	8.61	27.14	81967	8622.0	6378.0	15000.0
46.47	23.5	-11511.72	2.75	15.12	15.64	8.61	27.14	81968	8623.0	6377.0	15000.0
46.4	23.5	-11502.32	2.68	15.06	17.44	9.22	27.13	81969	8624.0	6376.0	15000.0
46.31	23.5	-11502.32	2.68	15.06	17.44	9.22	27.14	81970	8625.0	6375.0	15000.0
46.21	23.5	-11503.17	2.72	15.15	16.47	7.39	27.15	81971	8626.0	6374.0	15000.0
46.1	23.5	-11503.17	2.72	15.15	16.47	7.39	27.17	81972	8627.0	6373.0	15000.0
45.99	23.5	-11504.45	2.74	15.13	16.86	7.43	27.18	81973	8628.0	6372.0	15000.0
45.87	23.5	-11504.45	2.74	15.13	16.86	7.43	27.18	81974	8629.0	6371.0	15000.0
45.75	23.5	-11497.19	2.73	15.13	16.39	6.85	27.18	81975	8630.0	6370.0	15000.0
45.63	23.5	-11497.19	2.73	15.13	16.39	6.85	27.19	81976	8631.0	6369.0	15000.0
45.52	23.5	-11503.17	2.63	15.11	17.26	7.64	27.2	81977	8632.0	6368.0	15000.0
45.4	23.5	-11503.17	2.63	15.11	17.26	7.64	27.22	81978	8633.0	6367.0	15000.0
45.3	23.5	-11503.17	2.69	15.12	17.48	7.48	27.23	81979	8634.0	6366.0	15000.0
