EinAnaTmpMotorWicklU2_20Hz	EinAnaTmpUmgebung_20Hz	XcpAnaDrzMotorIst_20Hz	XcpAnaSpgMotorD_20Hz	XcpAnaSpgMotorQ_20Hz	XcpAnaStrMotorD_20Hz	XcpAnaStrMotorQ_20Hz	XcpAnaTmpElektronik_20Hz	index	runtime	downtime	check_sum
136.01	27.7	-4377.56	9.76	7.81	24.57	79.9	48.22	349745	0.0	15000.0	15000.0
135.93	27.7	-4377.56	9.76	7.81	24.57	79.9	48.22	349746	1.0	14999.0	15000.0
135.85	27.7	-6679.56	0.15	10.77	0.28	0.09	48.23	349747	2.0	14998.0	15000.0
135.78	27.7	-6679.56	0.15	10.77	0.28	0.09	48.23	349748	3.0	14997.0	15000.0
135.7	27.7	-6679.56	0.15	10.77	0.28	0.09	48.23	349749	4.0	14996.0	15000.0
135.63	27.7	-6679.56	0.15	10.77	0.28	0.09	48.23	349750	5.0	14995.0	15000.0
135.55	27.7	-6363.4	0.54	10.52	0.38	3.25	48.24	349751	6.0	14994.0	15000.0
135.47	27.7	-6363.4	0.54	10.52	0.38	3.25	48.24	349752	7.0	14993.0	15000.0
135.39	27.7	-6279.66	0.66	10.44	0.28	3.45	48.25	349753	8.0	14992.0	15000.0
135.29	27.7	-6279.66	0.66	10.44	0.28	3.45	48.26	349754	9.0	14991.0	15000.0
135.17	27.7	-6259.58	0.67	10.4	0.42	4.14	48.26	349755	10.0	14990.0	15000.0
135.03	27.7	-6259.58	0.67	10.4	0.42	4.14	48.26	349756	11.0	14989.0	15000.0
134.85	27.7	-6249.75	0.7	10.38	-0.32	4.51	48.26	349757	12.0	14988.0	15000.0
134.65	27.7	-6249.75	0.7	10.38	-0.32	4.51	48.26	349758	13.0	14987.0	15000.0
134.4	27.7	-6251.89	0.7	10.42	0.02	3.32	48.26	349759	14.0	14986.0	15000.0
134.13	27.7	-6251.89	0.7	10.42	0.02	3.32	48.26	349760	15.0	14985.0	15000.0
133.85	27.7	-6245.48	0.66	10.39	0.4	4.07	48.26	349761	16.0	14984.0	15000.0
133.57	27.7	-6245.48	0.66	10.39	0.4	4.07	48.26	349762	17.0	14983.0	15000.0
133.28	27.7	-6248.9	0.72	10.41	-0.34	3.69	48.27	349763	18.0	14982.0	15000.0
132.99	27.7	-6248.9	0.72	10.41	-0.34	3.69	48.26	349764	19.0	14981.0	15000.0
132.69	27.7	-6246.34	0.72	10.4	0.21	4.37	48.26	349765	20.0	14980.0	15000.0
132.4	27.7	-6246.34	0.72	10.4	0.21	4.37	48.26	349766	21.0	14979.0	15000.0
132.1	27.7	-6248.9	0.69	10.41	0.08	3.83	48.27	349767	22.0	14978.0	15000.0
131.8	27.7	-6248.9	0.69	10.41	0.08	3.83	48.27	349768	23.0	14977.0	15000.0
131.5	27.7	-6251.89	0.68	10.4	0.61	4.37	48.27	349769	24.0	14976.0	15000.0
131.2	27.7	-6251.89	0.68	10.4	0.61	4.37	48.26	349770	25.0	14975.0	15000.0
130.9	27.7	-6247.19	0.67	10.36	0.23	4.32	48.26	349771	26.0	14974.0	15000.0
130.6	27.7	-6247.19	0.67	10.36	0.23	4.32	48.26	349772	27.0	14973.0	15000.0
130.3	27.7	-6249.33	0.66	10.4	0.2	4.13	48.26	349773	28.0	14972.0	15000.0
130.0	27.7	-6249.33	0.66	10.4	0.2	4.13	48.26	349774	29.0	14971.0	15000.0
129.7	27.7	-6248.47	0.68	10.37	-0.62	4.39	48.26	349775	30.0	14970.0	15000.0
129.4	27.7	-6248.47	0.68	10.37	-0.62	4.39	48.26	349776	31.0	14969.0	15000.0
129.1	27.7	-6248.47	0.68	10.37	-0.62	4.39	48.26	349777	32.0	14968.0	15000.0
128.8	27.7	-6248.47	0.68	10.37	-0.62	4.39	48.26	349778	33.0	14967.0	15000.0
128.5	27.6	-6247.62	0.69	10.4	0.22	4.11	48.25	349779	34.0	14966.0	15000.0
128.21	27.6	-6247.62	0.69	10.4	0.22	4.11	48.25	349780	35.0	14965.0	15000.0
127.92	27.6	-6251.04	0.69	10.38	-0.6	4.11	48.26	349781	36.0	14964.0	15000.0
127.63	27.6	-6251.04	0.69	10.38	-0.6	4.11	48.25	349782	37.0	14963.0	15000.0
127.35	27.6	-5743.47	1.75	9.79	-0.66	13.01	48.24	349783	38.0	14962.0	15000.0
127.07	27.6	-5743.47	1.75	9.79	-0.66	13.01	48.24	349784	39.0	14961.0	15000.0
126.79	27.6	-5166.69	4.74	9.14	4.43	37.17	48.24	349785	40.0	14960.0	15000.0
126.51	27.6	-5166.69	4.74	9.14	4.43	37.17	48.24	349786	41.0	14959.0	15000.0
126.24	27.6	-5537.54	8.16	9.29	11.81	62.38	48.24	349787	42.0	14958.0	15000.0
125.97	27.6	-5537.54	8.16	9.29	11.81	62.38	48.25	349788	43.0	14957.0	15000.0
125.7	27.7	-5746.03	9.05	9.59	13.49	68.17	48.26	349789	44.0	14956.0	15000.0
125.44	27.7	-5746.03	9.05	9.59	13.49	68.17	48.28	349790	45.0	14955.0	15000.0
125.18	27.7	-5894.71	9.78	9.87	11.3	71.55	48.31	349791	46.0	14954.0	15000.0
124.93	27.7	-5894.71	9.78	9.87	11.3	71.55	48.31	349792	47.0	14953.0	15000.0
124.7	27.7	-6005.8	10.21	9.8	14.42	75.49	48.31	349793	48.0	14952.0	15000.0
124.46	27.7	-6005.8	10.21	9.8	14.42	75.49	48.36	349794	49.0	14951.0	15000.0
124.24	27.7	-6115.17	10.6	9.76	14.44	79.66	48.4	349795	50.0	14950.0	15000.0
124.02	27.7	-6115.17	10.6	9.76	14.44	79.66	48.4	349796	51.0	14949.0	15000.0
123.81	27.7	-6115.17	10.6	9.76	14.44	79.66	48.4	349797	52.0	14948.0	15000.0
123.6	27.7	-6115.17	10.6	9.76	14.44	79.66	48.41	349798	53.0	14947.0	15000.0
123.4	27.7	-6155.33	10.77	9.74	14.94	80.55	48.43	349799	54.0	14946.0	15000.0
123.2	27.7	-6155.33	10.77	9.74	14.94	80.55	48.46	349800	55.0	14945.0	15000.0
123.01	27.7	-6191.65	10.94	9.84	14.53	77.62	48.5	349801	56.0	14944.0	15000.0
122.83	27.7	-6191.65	10.94	9.84	14.53	77.62	48.54	349802	57.0	14943.0	15000.0
122.66	27.7	-6208.31	10.95	9.84	16.66	78.67	48.58	349803	58.0	14942.0	15000.0
122.5	27.7	-6208.31	10.95	9.84	16.66	78.67	48.62	349804	59.0	14941.0	15000.0
122.34	27.7	-6222.84	10.96	9.74	15.82	82.21	48.66	349805	60.0	14940.0	15000.0
122.19	27.7	-6222.84	10.96	9.74	15.82	82.21	48.7	349806	61.0	14939.0	15000.0
